fecha,barra,costo_marginal_usd_mwh
2026-01-01 11:00:00,Alto Jahuel220,66.96
2026-01-01 11:00:00,Cardones220,33.07
2026-01-01 11:00:00,Ancoa220,65.75
2026-01-01 12:00:00,Crucero220,31.54
2026-01-01 12:00:00,Charrua220,57.32
2026-01-01 12:00:00,Alto Jahuel220,56.3
2026-01-01 12:00:00,Cardones220,44.69
2026-01-01 12:00:00,Ancoa220,63.69
2026-01-01 13:00:00,Crucero220,51.35
2026-01-01 13:00:00,Charrua220,57.21
2026-01-01 13:00:00,Alto Jahuel220,51.3
2026-01-01 13:00:00,Cardones220,46.86
2026-01-01 13:00:00,Ancoa220,56.47
2026-01-01 14:00:00,Crucero220,34.79
2026-01-01 14:00:00,Charrua220,50.93
2026-01-01 14:00:00,Alto Jahuel220,47.64
2026-01-01 14:00:00,Cardones220,43.98
2026-01-01 14:00:00,Ancoa220,59.14
2026-01-01 15:00:00,Crucero220,50.52
2026-01-01 15:00:00,Charrua220,56.58
2026-01-01 15:00:00,Alto Jahuel220,56.27
2026-01-01 15:00:00,Cardones220,45.0
2026-01-01 15:00:00,Ancoa220,55.53
2026-01-01 16:00:00,Crucero220,48.65
2026-01-01 16:00:00,Charrua220,54.7
2026-01-01 16:00:00,Alto Jahuel220,52.1
2026-01-01 16:00:00,Cardones220,36.95
2026-01-01 16:00:00,Ancoa220,48.43
2026-01-01 17:00:00,Crucero220,48.9
2026-01-01 17:00:00,Charrua220,56.24
2026-01-01 17:00:00,Alto Jahuel220,55.1
2026-01-01 17:00:00,Cardones220,43.85
2026-01-01 17:00:00,Ancoa220,61.57
2026-01-01 18:00:00,Crucero220,50.32
2026-01-01 18:00:00,Charrua220,59.21
2026-01-01 18:00:00,Alto Jahuel220,51.61
2026-01-01 18:00:00,Cardones220,39.36
2026-01-01 18:00:00,Ancoa220,44.5
2026-01-01 19:00:00,Crucero220,33.42
2026-01-01 19:00:00,Charrua220,49.42
2026-01-01 19:00:00,Alto Jahuel220,47.02
2026-01-01 19:00:00,Cardones220,43.2
2026-01-01 19:00:00,Ancoa220,50.76
2026-01-01 20:00:00,Crucero220,41.97
2026-01-01 20:00:00,Charrua220,70.39
2026-01-01 20:00:00,Alto Jahuel220,52.15
2026-01-01 20:00:00,Cardones220,45.9
2026-01-01 20:00:00,Ancoa220,50.53
2026-01-01 21:00:00,Crucero220,43.36
2026-01-01 21:00:00,Charrua220,52.4
2026-01-01 21:00:00,Alto Jahuel220,52.29
2026-01-01 21:00:00,Cardones220,46.72
2026-01-01 21:00:00,Ancoa220,44.18
2026-01-01 22:00:00,Crucero220,48.48
2026-01-01 22:00:00,Charrua220,61.9
2026-01-01 22:00:00,Alto Jahuel220,50.25
2026-01-01 22:00:00,Cardones220,28.43
2026-01-01 22:00:00,Ancoa220,58.58
2026-01-01 23:00:00,Crucero220,40.76
2026-01-01 23:00:00,Charrua220,61.86
2026-01-01 23:00:00,Alto Jahuel220,55.17
2026-01-01 23:00:00,Cardones220,52.81
2026-01-01 23:00:00,Ancoa220,56.09
2026-01-02 00:00:00,Crucero220,36.81
2026-01-02 00:00:00,Charrua220,61.43
2026-01-02 00:00:00,Alto Jahuel220,56.76
2026-01-02 00:00:00,Cardones220,50.87
2026-01-02 00:00:00,Ancoa220,64.68
2026-01-02 01:00:00,Crucero220,47.85
2026-01-02 01:00:00,Charrua220,71.71
2026-01-02 01:00:00,Alto Jahuel220,45.49
2026-01-02 01:00:00,Cardones220,34.88
2026-01-02 01:00:00,Ancoa220,50.59
2026-01-02 02:00:00,Crucero220,41.88
2026-01-02 02:00:00,Charrua220,48.99
2026-01-02 02:00:00,Alto Jahuel220,60.08
2026-01-02 02:00:00,Cardones220,38.22
2026-01-02 02:00:00,Ancoa220,46.23
2026-01-02 03:00:00,Crucero220,36.88
2026-01-02 03:00:00,Charrua220,62.51
2026-01-02 03:00:00,Alto Jahuel220,61.71
2026-01-02 03:00:00,Cardones220,55.97
2026-01-02 03:00:00,Ancoa220,81.31
2026-01-02 04:00:00,Crucero220,48.32
2026-01-02 04:00:00,Charrua220,52.08
2026-01-02 04:00:00,Alto Jahuel220,37.94
2026-01-02 04:00:00,Cardones220,42.14
2026-01-02 04:00:00,Ancoa220,51.5
2026-01-02 05:00:00,Crucero220,41.68
2026-01-02 05:00:00,Charrua220,55.1
2026-01-02 05:00:00,Alto Jahuel220,53.87
2026-01-02 05:00:00,Cardones220,48.53
2026-01-02 05:00:00,Ancoa220,59.26
2026-01-02 06:00:00,Crucero220,43.73
2026-01-02 06:00:00,Charrua220,51.71
2026-01-02 06:00:00,Alto Jahuel220,41.6
2026-01-02 06:00:00,Cardones220,36.11
2026-01-02 06:00:00,Ancoa220,57.57
2026-01-02 07:00:00,Crucero220,59.14
2026-01-02 07:00:00,Charrua220,61.04
2026-01-02 07:00:00,Alto Jahuel220,62.86
2026-01-02 07:00:00,Cardones220,36.01
2026-01-02 07:00:00,Ancoa220,48.52
2026-01-02 08:00:00,Crucero220,37.28
2026-01-02 08:00:00,Charrua220,54.2
2026-01-02 08:00:00,Alto Jahuel220,72.03
2026-01-02 08:00:00,Cardones220,33.43
2026-01-02 08:00:00,Ancoa220,64.71
2026-01-02 09:00:00,Crucero220,37.78
2026-01-02 09:00:00,Charrua220,67.45
2026-01-02 09:00:00,Alto Jahuel220,58.08
2026-01-02 09:00:00,Cardones220,38.75
2026-01-02 09:00:00,Ancoa220,57.67
2026-01-02 10:00:00,Crucero220,39.76
2026-01-02 10:00:00,Charrua220,63.57
2026-01-02 10:00:00,Alto Jahuel220,51.36
2026-01-02 10:00:00,Cardones220,30.2
2026-01-02 10:00:00,Ancoa220,47.78
2026-01-02 11:00:00,Crucero220,46.38
2026-01-02 11:00:00,Charrua220,72.63
2026-01-02 11:00:00,Alto Jahuel220,56.28
2026-01-02 11:00:00,Cardones220,39.05
2026-01-02 11:00:00,Ancoa220,60.29
2026-01-02 12:00:00,Crucero220,55.45
2026-01-02 12:00:00,Charrua220,61.76
2026-01-02 12:00:00,Alto Jahuel220,51.71
2026-01-02 12:00:00,Cardones220,48.85
2026-01-02 12:00:00,Ancoa220,61.43
2026-01-02 13:00:00,Crucero220,57.29
2026-01-02 13:00:00,Charrua220,61.47
2026-01-02 13:00:00,Alto Jahuel220,45.2
2026-01-02 13:00:00,Cardones220,29.05
2026-01-02 13:00:00,Ancoa220,71.21
2026-01-02 14:00:00,Crucero220,58.79
2026-01-02 14:00:00,Charrua220,58.56
2026-01-02 14:00:00,Alto Jahuel220,51.93
2026-01-02 14:00:00,Cardones220,51.69
2026-01-02 14:00:00,Ancoa220,49.14
2026-01-02 15:00:00,Crucero220,37.84
2026-01-02 15:00:00,Charrua220,65.15
2026-01-02 15:00:00,Alto Jahuel220,51.84
2026-01-02 15:00:00,Cardones220,39.96
2026-01-02 15:00:00,Ancoa220,56.69
2026-01-02 16:00:00,Crucero220,47.7
2026-01-02 16:00:00,Charrua220,71.26
2026-01-02 16:00:00,Alto Jahuel220,55.72
2026-01-02 16:00:00,Cardones220,45.15
2026-01-02 16:00:00,Ancoa220,41.6
2026-01-02 17:00:00,Crucero220,44.61
2026-01-02 17:00:00,Charrua220,53.25
2026-01-02 17:00:00,Alto Jahuel220,45.25
2026-01-02 17:00:00,Cardones220,32.97
2026-01-02 17:00:00,Ancoa220,55.33
2026-01-02 18:00:00,Crucero220,52.33
2026-01-02 18:00:00,Charrua220,49.39
2026-01-02 18:00:00,Alto Jahuel220,55.25
2026-01-02 18:00:00,Cardones220,36.13
2026-01-02 18:00:00,Ancoa220,55.38
2026-01-02 19:00:00,Crucero220,53.02
2026-01-02 19:00:00,Charrua220,64.3
2026-01-02 19:00:00,Alto Jahuel220,65.7
2026-01-02 19:00:00,Cardones220,38.76
2026-01-02 19:00:00,Ancoa220,52.43
2026-01-02 20:00:00,Crucero220,43.21
2026-01-02 20:00:00,Charrua220,61.94
2026-01-02 20:00:00,Alto Jahuel220,56.41
2026-01-02 20:00:00,Cardones220,31.32
2026-01-02 20:00:00,Ancoa220,58.72
2026-01-02 21:00:00,Crucero220,46.83
2026-01-02 21:00:00,Charrua220,80.14
2026-01-02 21:00:00,Alto Jahuel220,70.01
2026-01-02 21:00:00,Cardones220,33.17
2026-01-02 21:00:00,Ancoa220,55.7
2026-01-02 22:00:00,Crucero220,33.29
2026-01-02 22:00:00,Charrua220,55.27
2026-01-02 22:00:00,Alto Jahuel220,57.52
2026-01-02 22:00:00,Cardones220,49.65
2026-01-02 22:00:00,Ancoa220,52.17
2026-01-02 23:00:00,Crucero220,39.77
2026-01-02 23:00:00,Charrua220,42.82
2026-01-02 23:00:00,Alto Jahuel220,53.7
2026-01-02 23:00:00,Cardones220,31.5
2026-01-02 23:00:00,Ancoa220,53.76
2026-01-03 00:00:00,Crucero220,37.99
2026-01-03 00:00:00,Charrua220,59.25
2026-01-03 00:00:00,Alto Jahuel220,40.94
2026-01-03 00:00:00,Cardones220,28.26
2026-01-03 00:00:00,Ancoa220,75.03
2026-01-03 01:00:00,Crucero220,34.7
2026-01-03 01:00:00,Charrua220,51.23
2026-01-03 01:00:00,Alto Jahuel220,69.7
2026-01-03 01:00:00,Cardones220,63.24
2026-01-03 01:00:00,Ancoa220,48.63
2026-01-03 02:00:00,Crucero220,42.05
2026-01-03 02:00:00,Charrua220,62.73
2026-01-03 02:00:00,Alto Jahuel220,68.83
2026-01-03 02:00:00,Cardones220,32.11
2026-01-03 02:00:00,Ancoa220,56.04
2026-01-03 03:00:00,Crucero220,51.22
2026-01-03 03:00:00,Charrua220,63.48
2026-01-03 03:00:00,Alto Jahuel220,51.99
2026-01-03 03:00:00,Cardones220,38.93
2026-01-03 03:00:00,Ancoa220,47.0
2026-01-03 04:00:00,Crucero220,43.09
2026-01-03 04:00:00,Charrua220,57.87
2026-01-03 04:00:00,Alto Jahuel220,56.86
2026-01-03 04:00:00,Cardones220,35.56
2026-01-03 04:00:00,Ancoa220,61.77
2026-01-03 05:00:00,Crucero220,53.1
2026-01-03 05:00:00,Charrua220,61.24
2026-01-03 05:00:00,Alto Jahuel220,57.81
2026-01-03 05:00:00,Cardones220,40.43
2026-01-03 05:00:00,Ancoa220,58.0
2026-01-03 06:00:00,Crucero220,39.23
2026-01-03 06:00:00,Charrua220,62.53
2026-01-03 06:00:00,Alto Jahuel220,54.22
2026-01-03 06:00:00,Cardones220,56.75
2026-01-03 06:00:00,Ancoa220,70.59
2026-01-03 07:00:00,Crucero220,48.09
2026-01-03 07:00:00,Charrua220,53.9
2026-01-03 07:00:00,Alto Jahuel220,46.1
2026-01-03 07:00:00,Cardones220,49.53
2026-01-03 07:00:00,Ancoa220,60.1
2026-01-03 08:00:00,Crucero220,48.84
2026-01-03 08:00:00,Charrua220,46.04
2026-01-03 08:00:00,Alto Jahuel220,62.42
2026-01-03 08:00:00,Cardones220,43.64
2026-01-03 08:00:00,Ancoa220,49.12
2026-01-03 09:00:00,Crucero220,41.23
2026-01-03 09:00:00,Charrua220,62.11
2026-01-03 09:00:00,Alto Jahuel220,55.42
2026-01-03 09:00:00,Cardones220,37.66
2026-01-03 09:00:00,Ancoa220,57.17
2026-01-03 10:00:00,Crucero220,42.98
2026-01-03 10:00:00,Charrua220,61.22
2026-01-03 10:00:00,Alto Jahuel220,66.77
2026-01-03 10:00:00,Cardones220,19.47
2026-01-03 10:00:00,Ancoa220,56.11
2026-01-03 11:00:00,Crucero220,46.41
2026-01-03 11:00:00,Charrua220,62.37
2026-01-03 11:00:00,Alto Jahuel220,52.02
2026-01-03 11:00:00,Cardones220,25.95
2026-01-03 11:00:00,Ancoa220,60.62
2026-01-03 12:00:00,Crucero220,58.82
2026-01-03 12:00:00,Charrua220,47.73
2026-01-03 12:00:00,Alto Jahuel220,61.91
2026-01-03 12:00:00,Cardones220,37.37
2026-01-03 12:00:00,Ancoa220,57.51
2026-01-03 13:00:00,Crucero220,36.58
2026-01-03 13:00:00,Charrua220,57.32
2026-01-03 13:00:00,Alto Jahuel220,65.4
2026-01-03 13:00:00,Cardones220,44.66
2026-01-03 13:00:00,Ancoa220,71.86
2026-01-03 14:00:00,Crucero220,54.42
2026-01-03 14:00:00,Charrua220,63.51
2026-01-03 14:00:00,Alto Jahuel220,68.95
2026-01-03 14:00:00,Cardones220,43.51
2026-01-03 14:00:00,Ancoa220,64.62
2026-01-03 15:00:00,Crucero220,42.63
2026-01-03 15:00:00,Charrua220,60.53
2026-01-03 15:00:00,Alto Jahuel220,49.42
2026-01-03 15:00:00,Cardones220,47.92
2026-01-03 15:00:00,Ancoa220,48.57
2026-01-03 16:00:00,Crucero220,51.26
2026-01-03 16:00:00,Charrua220,58.47
2026-01-03 16:00:00,Alto Jahuel220,64.37
2026-01-03 16:00:00,Cardones220,46.01
2026-01-03 16:00:00,Ancoa220,72.57
2026-01-03 17:00:00,Crucero220,50.85
2026-01-03 17:00:00,Charrua220,47.42
2026-01-03 17:00:00,Alto Jahuel220,54.46
2026-01-03 17:00:00,Cardones220,30.62
2026-01-03 17:00:00,Ancoa220,53.85
2026-01-03 18:00:00,Crucero220,57.09
2026-01-03 18:00:00,Charrua220,65.1
2026-01-03 18:00:00,Alto Jahuel220,49.41
2026-01-03 18:00:00,Cardones220,31.89
2026-01-03 18:00:00,Ancoa220,58.26
2026-01-03 19:00:00,Crucero220,35.27
2026-01-03 19:00:00,Charrua220,54.63
2026-01-03 19:00:00,Alto Jahuel220,57.5
2026-01-03 19:00:00,Cardones220,49.24
2026-01-03 19:00:00,Ancoa220,62.87
2026-01-03 20:00:00,Crucero220,26.67
2026-01-03 20:00:00,Charrua220,62.43
2026-01-03 20:00:00,Alto Jahuel220,55.58
2026-01-03 20:00:00,Cardones220,43.31
2026-01-03 20:00:00,Ancoa220,70.93
2026-01-03 21:00:00,Crucero220,28.49
2026-01-03 21:00:00,Charrua220,55.27
2026-01-03 21:00:00,Alto Jahuel220,59.73
2026-01-03 21:00:00,Cardones220,27.35
2026-01-03 21:00:00,Ancoa220,69.81
2026-01-03 22:00:00,Crucero220,47.95
2026-01-03 22:00:00,Charrua220,66.77
2026-01-03 22:00:00,Alto Jahuel220,50.43
2026-01-03 22:00:00,Cardones220,46.51
2026-01-03 22:00:00,Ancoa220,66.55
2026-01-03 23:00:00,Crucero220,46.86
2026-01-03 23:00:00,Charrua220,61.88
2026-01-03 23:00:00,Alto Jahuel220,57.16
2026-01-03 23:00:00,Cardones220,33.09
2026-01-03 23:00:00,Ancoa220,56.82
2026-01-04 00:00:00,Crucero220,43.78
2026-01-04 00:00:00,Charrua220,63.07
2026-01-04 00:00:00,Alto Jahuel220,63.0
2026-01-04 00:00:00,Cardones220,31.53
2026-01-04 00:00:00,Ancoa220,57.0
2026-01-04 01:00:00,Crucero220,56.85
2026-01-04 01:00:00,Charrua220,54.05
2026-01-04 01:00:00,Alto Jahuel220,48.42
2026-01-04 01:00:00,Cardones220,41.62
2026-01-04 01:00:00,Ancoa220,64.76
2026-01-04 02:00:00,Crucero220,45.09
2026-01-04 02:00:00,Charrua220,70.63
2026-01-04 02:00:00,Alto Jahuel220,61.85
2026-01-04 02:00:00,Cardones220,46.73
2026-01-04 02:00:00,Ancoa220,62.43
2026-01-04 03:00:00,Crucero220,63.62
2026-01-04 03:00:00,Charrua220,58.36
2026-01-04 03:00:00,Alto Jahuel220,38.97
2026-01-04 03:00:00,Cardones220,52.83
2026-01-04 03:00:00,Ancoa220,54.34
2026-01-04 04:00:00,Crucero220,45.86
2026-01-04 04:00:00,Charrua220,70.48
2026-01-04 04:00:00,Alto Jahuel220,42.18
2026-01-04 04:00:00,Cardones220,29.99
2026-01-04 04:00:00,Ancoa220,45.19
2026-01-04 05:00:00,Crucero220,38.65
2026-01-04 05:00:00,Charrua220,63.52
2026-01-04 05:00:00,Alto Jahuel220,59.19
2026-01-04 05:00:00,Cardones220,42.21
2026-01-04 05:00:00,Ancoa220,46.7
2026-01-04 06:00:00,Crucero220,26.52
2026-01-04 06:00:00,Charrua220,60.43
2026-01-04 06:00:00,Alto Jahuel220,51.23
2026-01-04 06:00:00,Cardones220,43.68
2026-01-04 06:00:00,Ancoa220,63.62
2026-01-04 07:00:00,Crucero220,46.11
2026-01-04 07:00:00,Charrua220,66.08
2026-01-04 07:00:00,Alto Jahuel220,56.83
2026-01-04 07:00:00,Cardones220,44.24
2026-01-04 07:00:00,Ancoa220,52.36
2026-01-04 08:00:00,Crucero220,43.56
2026-01-04 08:00:00,Charrua220,61.57
2026-01-04 08:00:00,Alto Jahuel220,61.56
2026-01-04 08:00:00,Cardones220,36.85
2026-01-04 08:00:00,Ancoa220,62.17
2026-01-04 09:00:00,Crucero220,42.87
2026-01-04 09:00:00,Charrua220,59.06
2026-01-04 09:00:00,Alto Jahuel220,61.64
2026-01-04 09:00:00,Cardones220,24.06
2026-01-04 09:00:00,Ancoa220,47.63
2026-01-04 10:00:00,Crucero220,33.14
2026-01-04 10:00:00,Charrua220,41.33
2026-01-04 10:00:00,Alto Jahuel220,49.57
2026-01-04 10:00:00,Cardones220,46.0
2026-01-04 10:00:00,Ancoa220,55.72
2026-01-04 11:00:00,Crucero220,46.58
2026-01-04 11:00:00,Charrua220,68.71
2026-01-04 11:00:00,Alto Jahuel220,65.62
2026-01-04 11:00:00,Cardones220,39.45
2026-01-04 11:00:00,Ancoa220,68.83
2026-01-04 12:00:00,Crucero220,45.74
2026-01-04 12:00:00,Charrua220,53.3
2026-01-04 12:00:00,Alto Jahuel220,50.24
2026-01-04 12:00:00,Cardones220,28.16
2026-01-04 12:00:00,Ancoa220,50.89
2026-01-04 13:00:00,Crucero220,42.14
2026-01-04 13:00:00,Charrua220,66.43
2026-01-04 13:00:00,Alto Jahuel220,68.77
2026-01-04 13:00:00,Cardones220,28.94
2026-01-04 13:00:00,Ancoa220,61.14
2026-01-04 14:00:00,Crucero220,36.68
2026-01-04 14:00:00,Charrua220,63.8
2026-01-04 14:00:00,Alto Jahuel220,53.95
2026-01-04 14:00:00,Cardones220,25.35
2026-01-04 14:00:00,Ancoa220,65.43
2026-01-04 15:00:00,Crucero220,40.16
2026-01-04 15:00:00,Charrua220,55.73
2026-01-04 15:00:00,Alto Jahuel220,46.44
2026-01-04 15:00:00,Cardones220,34.77
2026-01-04 15:00:00,Ancoa220,61.42
2026-01-04 16:00:00,Crucero220,43.49
2026-01-04 16:00:00,Charrua220,62.63
2026-01-04 16:00:00,Alto Jahuel220,57.9
2026-01-04 16:00:00,Cardones220,50.57
2026-01-04 16:00:00,Ancoa220,55.26
2026-01-04 17:00:00,Crucero220,33.19
2026-01-04 17:00:00,Charrua220,68.54
2026-01-04 17:00:00,Alto Jahuel220,52.35
2026-01-04 17:00:00,Cardones220,48.92
2026-01-04 17:00:00,Ancoa220,61.07
2026-01-04 18:00:00,Crucero220,43.95
2026-01-04 18:00:00,Charrua220,62.79
2026-01-04 18:00:00,Alto Jahuel220,70.61
2026-01-04 18:00:00,Cardones220,56.62
2026-01-04 18:00:00,Ancoa220,58.56
2026-01-04 19:00:00,Crucero220,46.28
2026-01-04 19:00:00,Charrua220,68.61
2026-01-04 19:00:00,Alto Jahuel220,48.23
2026-01-04 19:00:00,Cardones220,42.66
2026-01-04 19:00:00,Ancoa220,57.79
2026-01-04 20:00:00,Crucero220,47.51
2026-01-04 20:00:00,Charrua220,53.33
2026-01-04 20:00:00,Alto Jahuel220,42.28
2026-01-04 20:00:00,Cardones220,23.42
2026-01-04 20:00:00,Ancoa220,49.06
2026-01-04 21:00:00,Crucero220,41.33
2026-01-04 21:00:00,Charrua220,57.65
2026-01-04 21:00:00,Alto Jahuel220,70.5
2026-01-04 21:00:00,Cardones220,48.85
2026-01-04 21:00:00,Ancoa220,50.3
2026-01-04 22:00:00,Crucero220,47.78
2026-01-04 22:00:00,Charrua220,56.74
2026-01-04 22:00:00,Alto Jahuel220,52.73
2026-01-04 22:00:00,Cardones220,41.48
2026-01-04 22:00:00,Ancoa220,62.95
2026-01-04 23:00:00,Crucero220,42.29
2026-01-04 23:00:00,Charrua220,68.51
2026-01-04 23:00:00,Alto Jahuel220,45.86
2026-01-04 23:00:00,Cardones220,40.05
2026-01-04 23:00:00,Ancoa220,78.78
2026-01-05 00:00:00,Crucero220,46.78
2026-01-05 00:00:00,Charrua220,71.47
2026-01-05 00:00:00,Alto Jahuel220,55.73
2026-01-05 00:00:00,Cardones220,44.65
2026-01-05 00:00:00,Ancoa220,57.55
2026-01-05 01:00:00,Crucero220,43.64
2026-01-05 01:00:00,Charrua220,53.76
2026-01-05 01:00:00,Alto Jahuel220,58.44
2026-01-05 01:00:00,Cardones220,33.19
2026-01-05 01:00:00,Ancoa220,63.32
2026-01-05 02:00:00,Crucero220,53.68
2026-01-05 02:00:00,Charrua220,62.93
2026-01-05 02:00:00,Alto Jahuel220,52.71
2026-01-05 02:00:00,Cardones220,43.63
2026-01-05 02:00:00,Ancoa220,55.53
2026-01-05 03:00:00,Crucero220,52.48
2026-01-05 03:00:00,Charrua220,45.35
2026-01-05 03:00:00,Alto Jahuel220,52.32
2026-01-05 03:00:00,Cardones220,24.07
2026-01-05 03:00:00,Ancoa220,46.04
2026-01-05 04:00:00,Crucero220,55.91
2026-01-05 04:00:00,Charrua220,67.16
2026-01-05 04:00:00,Alto Jahuel220,49.24
2026-01-05 04:00:00,Cardones220,27.98
2026-01-05 04:00:00,Ancoa220,34.28
2026-01-05 05:00:00,Crucero220,40.65
2026-01-05 05:00:00,Charrua220,79.36
2026-01-05 05:00:00,Alto Jahuel220,58.48
2026-01-05 05:00:00,Cardones220,35.52
2026-01-05 05:00:00,Ancoa220,61.72
2026-01-05 06:00:00,Crucero220,32.51
2026-01-05 06:00:00,Charrua220,57.62
2026-01-05 06:00:00,Alto Jahuel220,55.8
2026-01-05 06:00:00,Cardones220,39.31
2026-01-05 06:00:00,Ancoa220,64.33
2026-01-05 07:00:00,Crucero220,47.76
2026-01-05 07:00:00,Charrua220,65.35
2026-01-05 07:00:00,Alto Jahuel220,49.49
2026-01-05 07:00:00,Cardones220,47.18
2026-01-05 07:00:00,Ancoa220,71.03
2026-01-05 08:00:00,Crucero220,37.24
2026-01-05 08:00:00,Charrua220,52.9
2026-01-05 08:00:00,Alto Jahuel220,65.69
2026-01-05 08:00:00,Cardones220,38.47
2026-01-05 08:00:00,Ancoa220,69.23
2026-01-05 09:00:00,Crucero220,41.46
2026-01-05 09:00:00,Charrua220,71.64
2026-01-05 09:00:00,Alto Jahuel220,56.05
2026-01-05 09:00:00,Cardones220,42.07
2026-01-05 09:00:00,Ancoa220,70.52
2026-01-05 10:00:00,Crucero220,42.11
2026-01-05 10:00:00,Charrua220,52.47
2026-01-05 10:00:00,Alto Jahuel220,51.41
2026-01-05 10:00:00,Cardones220,43.62
2026-01-05 10:00:00,Ancoa220,45.47
2026-01-05 11:00:00,Crucero220,50.1
2026-01-05 11:00:00,Charrua220,55.69
2026-01-05 11:00:00,Alto Jahuel220,64.18
2026-01-05 11:00:00,Cardones220,20.85
2026-01-05 11:00:00,Ancoa220,51.71
2026-01-05 12:00:00,Crucero220,31.51
2026-01-05 12:00:00,Charrua220,53.39
2026-01-05 12:00:00,Alto Jahuel220,56.98
2026-01-05 12:00:00,Cardones220,38.57
2026-01-05 12:00:00,Ancoa220,55.97
2026-01-05 13:00:00,Crucero220,43.73
2026-01-05 13:00:00,Charrua220,61.63
2026-01-05 13:00:00,Alto Jahuel220,46.93
2026-01-05 13:00:00,Cardones220,45.65
2026-01-05 13:00:00,Ancoa220,63.3
2026-01-05 14:00:00,Crucero220,48.08
2026-01-05 14:00:00,Charrua220,64.45
2026-01-05 14:00:00,Alto Jahuel220,57.37
2026-01-05 14:00:00,Cardones220,56.28
2026-01-05 14:00:00,Ancoa220,57.3
2026-01-05 15:00:00,Crucero220,42.54
2026-01-05 15:00:00,Charrua220,53.97
2026-01-05 15:00:00,Alto Jahuel220,46.74
2026-01-05 15:00:00,Cardones220,30.04
2026-01-05 15:00:00,Ancoa220,50.89
2026-01-05 16:00:00,Crucero220,44.43
2026-01-05 16:00:00,Charrua220,62.67
2026-01-05 16:00:00,Alto Jahuel220,55.41
2026-01-05 16:00:00,Cardones220,33.88
2026-01-05 16:00:00,Ancoa220,65.2
2026-01-05 17:00:00,Crucero220,50.92
2026-01-05 17:00:00,Charrua220,58.72
2026-01-05 17:00:00,Alto Jahuel220,49.78
2026-01-05 17:00:00,Cardones220,44.39
2026-01-05 17:00:00,Ancoa220,59.5
2026-01-05 18:00:00,Crucero220,33.41
2026-01-05 18:00:00,Charrua220,59.46
2026-01-05 18:00:00,Alto Jahuel220,57.1
2026-01-05 18:00:00,Cardones220,32.8
2026-01-05 18:00:00,Ancoa220,59.52
2026-01-05 19:00:00,Crucero220,33.36
2026-01-05 19:00:00,Charrua220,70.69
2026-01-05 19:00:00,Alto Jahuel220,64.98
2026-01-05 19:00:00,Cardones220,37.98
2026-01-05 19:00:00,Ancoa220,60.91
2026-01-05 20:00:00,Crucero220,25.72
